编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
57,南钢,2015/7/25,11:56:35,外弧宽面Tv,稳态,0.169,0,0.6,0.978,5.405,16.087,65.065,65,0.419,1.623,,
58,南钢,2015/7/25,11:56:41,外弧宽面Tv,稳态,0.141,0.305,0.6,0.615,4.23,11.854,38.004,49,0.366,1.242,,
59,南钢,2015/7/25,11:56:46,外弧宽面Tv,误报,0.169,-0.406,0.6,0.602,7.05,18.627,104.064,84,0.501,0.896,,
60,南钢,2015/7/25,11:57:01,外弧宽面Tv,稳态,0.028,0,0.6,-0.011,4.465,11.007,40.989,51,0.391,0.74,,
61,南钢,2015/7/27,11:52:02,外弧宽面Tv,稳态,0.056,-1.961,0.75,-822.547,1.645,10.322,12.128,27,0.326,4.984,,
62,南钢,2015/7/27,11:52:07,外弧宽面Tv,稳态,0.395,1.548,0.75,-352.653,9.635,24.944,173.227,113,0.402,0.791,,
63,南钢,2015/7/27,11:52:23,外弧宽面Tv,漏钢,0.31,-1.032,0.75,-0.625,17.155,37.846,298.346,185,0.496,0.298,,
64,南钢,2015/7/27,11:52:37,外弧宽面Tv,稳态,0.028,1.239,0.75,-331.971,2.82,14.622,29.915,42,0.332,0.811,,
65,南钢,2015/7/27,11:54:21,内弧宽面Tv,稳态,0.169,0.413,0.52,1.709,3.995,28.384,85.097,77,0.382,0.482,,
66,南钢,2015/7/27,11:54:26,内弧宽面Tv,稳态,0.479,0.619,0.56,0.709,13.63,21.503,188.993,139,0.356,0.271,,
67,南钢,2015/7/27,11:54:36,内弧宽面Tv,稳态,0.536,-0.31,0.65,0.32,23.5,37.846,534.435,263,0.434,0.168,,
68,南钢,2015/7/27,11:54:41,内弧宽面Tv,稳态,0.141,-0.206,0.69,0.105,23.5,30.965,598.915,243,0.442,0.204,,
69,南钢,2015/7/27,11:55:12,外弧宽面Tv,漏钢,0.056,-0.103,0.02,-0.029,23.5,98.055,1668.998,391,1.271,8.089,,
70,南钢,2015/8/3,07:58:54,内弧宽面Tv,漏钢,0.592,-1.829,0.9,0.211,20.445,35.331,350.834,217,0.482,0.278,,
71,南钢,2015/8/7,13:42:24,外弧宽面Tv,稳态,0.31,0.333,1.05,1.687,8.93,24.247,108.099,110,0.36,0.963,,
72,南钢,2015/8/7,13:42:57,内弧宽面Tv,稳态,0.479,0.249,1.05,-8.359,10.34,20.783,196.011,128,0.572,0.644,,
73,南钢,2015/8/7,13:43:08,内弧宽面Tv,稳态,0.367,0.748,1.05,1.331,10.34,37.409,315.344,158,1.487,1.221,,
74,南钢,2015/8/7,13:43:13,内弧宽面Tv,稳态,0.028,1.829,1.05,-0.2,11.045,33.946,273.341,152,0.997,0.932,,
75,南钢,2015/8/7,13:51:00,内弧宽面Tv,稳态,0.028,-0.166,1.05,-0.231,2.115,13.163,19.699,40,0.319,0.535,,
76,南钢,2015/8/7,13:51:05,内弧宽面Tv,稳态,0.056,-0.083,1.05,-0.76,3.29,15.241,33.211,51,0.328,1.044,,
77,南钢,2015/8/7,13:51:10,内弧宽面Tv,稳态,0.085,0.166,1.05,-1.489,5.17,16.626,55.026,68,0.342,3.26,,
78,南钢,2015/8/7,13:51:27,外弧宽面Tv,漏钢,0.874,1.413,1.05,0.555,22.56,41.566,439.56,228,0.481,0.223,,
79,南钢,2015/8/11,14:00:46,外弧宽面Tv,漏钢,0.733,0.826,0.9,0.823,23.5,52.466,675.497,314,0.7,0.769,,
80,南钢,2015/8/22,03:16:52,内弧宽面Tv,稳态,0.338,-0.504,0.7,1.882,7.755,23.782,141.033,106,0.577,8.812,,
