编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
373,南钢,2016/11/13,10:12:11,内弧宽面Tv,稳态,0.226,1.448,0.75,1.911,4.935,18.098,67.643,65,0.54,1.601,,
374,南钢,2016/11/13,10:12:17,内弧宽面Tv,误报,0.62,-0.931,0.75,0.69,15.275,29.301,186.524,150,0.389,0.13,,
375,南钢,2016/11/13,10:12:22,外弧宽面Tv,稳态,0.056,0.414,0.75,0.188,4.7,30.163,112.4,86,0.461,0.526,,
376,南钢,2016/11/16,05:40:41,内弧宽面Tv,误报,0.818,-0.332,0.95,1.218,23.5,33.173,555.762,267,0.512,0.369,,
377,南钢,2016/11/16,05:40:50,内弧宽面Tv,稳态,0.169,0,0.95,0.07,23.5,53.215,1088.137,310,0.862,0.517,,
378,南钢,2016/11/16,05:41:02,内弧宽面Tv,稳态,0.085,-1.244,0.95,0.046,23.5,101.592,1550.027,404,0.618,0.534,,
379,南钢,2016/11/18,13:31:28,内弧宽面Tv,稳态,0.141,0.166,0.95,0.469,18.33,22.115,225.261,170,0.362,0.135,,
380,南钢,2016/11/18,13:31:52,外弧宽面Tv,误报,0.085,-0.332,0.95,-0.383,23.5,37.319,512.399,254,0.605,0.302,,
381,南钢,2016/11/18,13:31:58,外弧宽面Tv,稳态,0.085,0,0.95,0.089,23.5,35.246,694.784,257,0.617,0.24,,
382,南钢,2016/11/19,08:34:58,内弧宽面Tv,稳态,0.282,0.829,1.05,-0.09,23.5,42.848,648.984,293,0.519,0.394,,
383,南钢,2016/11/19,08:35:12,外弧宽面Tv,稳态,0.056,0.415,1.05,0.622,5.17,26.262,91.598,90,0.419,0.712,,
384,南钢,2016/11/19,08:35:18,外弧宽面Tv,误报,0.902,1.41,1.05,1.827,22.09,71.183,1053.057,421,0.805,1.509,,
385,南钢,2016/11/19,08:35:43,内弧宽面Tv,稳态,1.241,0.746,1.05,-0.353,23.5,28.335,287.463,237,0.398,0.087,,
386,南钢,2016/11/19,08:35:50,外弧宽面Tv,稳态,0.451,0,0,0.478,21.385,25.571,456.855,227,0.988,0.219,,
387,南钢,2016/11/19,08:54:46,外弧宽面Tv,稳态,0.451,-1.493,1.05,1.13,21.62,56.67,707.451,278,0.678,0.753,,
388,南钢,2016/11/19,08:54:54,外弧宽面Tv,误报,0.056,1.907,1.05,0.026,23.5,78.094,913.873,376,0.519,0.821,,
389,南钢,2016/11/19,08:54:57,外弧宽面Tv,稳态,0.056,0.912,1.05,0.341,23.5,117.487,1322.33,541,0.574,0.6,,
390,南钢,2016/11/19,08:55:07,外弧宽面Tv,稳态,0.508,1.327,1.05,0.384,22.56,40.084,527.34,240,0.423,0.35,,
391,南钢,2016/11/19,11:52:34,内弧宽面Tv,稳态,0.226,-1.907,1.05,-235.082,7.285,15.895,94.035,87,0.571,0.986,,
392,南钢,2016/11/19,11:52:39,内弧宽面Tv,稳态,0.056,-0.912,1.05,0.19,8.225,26.953,188.394,123,0.722,1.633,,
393,南钢,2016/11/19,11:52:59,外弧宽面Tv,误报,0.62,0.083,0.71,1.136,19.27,46.995,432.494,227,0.707,0.43,,
394,南钢,2016/11/19,12:50:24,内弧宽面Tv,误报,0.169,1.493,1.05,-59.235,9.165,21.424,161.759,114,0.786,1.327,,
395,南钢,2016/11/19,12:50:37,内弧宽面Tv,稳态,0.423,1.493,0.43,-151.687,9.165,18.66,141.62,110,0.8,0.709,,
396,南钢,2016/11/23,03:23:24,内弧宽面Tv,稳态,0.451,-0.833,0.9,0.64,11.75,14.577,123.157,120,0.362,0.295,,
397,南钢,2016/11/23,03:23:46,外弧宽面Tv,稳态,0.028,0.666,0.9,-0.105,2.115,18.047,28.709,53,0.37,0.307,,
398,南钢,2016/11/23,03:24:00,外弧宽面Tv,误报,0.649,-0.583,0.9,2.621,14.805,23.601,189.058,156,0.399,0.401,,
399,南钢,2016/11/24,13:38:38,内弧宽面Tv,稳态,0.141,0.103,0.75,-780.778,4.23,15.512,50.023,54,0.389,10.724,,
400,南钢,2016/11/24,13:38:59,外弧宽面Tv,稳态,0.169,-1.758,0.75,1.319,7.52,55.155,294.468,156,0.409,0.48,,
401,南钢,2016/11/24,13:39:05,外弧宽面Tv,稳态,0.056,0,0.75,-213.003,6.58,28.439,98.224,89,0.374,4.78,,
402,南钢,2016/11/24,13:39:20,外弧宽面Tv,误报,0.733,1.655,0.75,-12.864,20.21,77.562,656.985,276,0.542,0.361,,
403,南钢,2016/11/24,13:39:25,外弧宽面Tv,稳态,0.395,1.965,0.75,0.865,23.5,111.172,1867.262,405,0.64,1.066,,
404,南钢,2016/11/25,01:29:57,内弧宽面Tv,稳态,0.113,-0.517,0.75,-692.648,3.525,17.236,42.935,51,0.423,1.269,,
405,南钢,2016/11/25,01:30:12,外弧宽面Tv,误报,0.733,0.207,0.75,1.006,18.8,31.887,306.215,190,0.559,0.244,,
406,南钢,2016/11/25,01:30:22,内弧宽面Tv,稳态,0.338,-0.62,0.1,1.089,9.87,18.96,101.667,103,0.351,0.461,,
407,南钢,2016/11/25,01:52:43,外弧宽面Tv,稳态,0.085,0,0.75,-1407.565,3.995,15.512,45.568,52,0.376,3.71,,
408,南钢,2016/11/25,01:52:53,外弧宽面Tv,稳态,0.113,-0.724,0.75,0.45,4.23,17.236,51.441,56,0.431,2.283,,
409,南钢,2016/11/25,01:53:05,外弧宽面Tv,误报,1.41,1.034,0.75,1.278,23.5,44.814,515.016,258,0.501,0.393,,
410,南钢,2016/11/25,01:53:09,内弧宽面Tv,稳态,1.015,-1.241,0.75,0.517,19.035,25.854,195.232,174,0.343,0.11,,
411,南钢,2016/11/25,01:53:16,外弧宽面Tv,稳态,0.959,-0.724,0.75,0.928,21.62,59.464,483.827,266,0.613,0.281,,
412,南钢,2016/11/25,15:49:18,外弧宽面Tv,误报,1.043,0.206,0.75,-31.329,19.27,30.104,297.93,185,0.417,0.215,,
413,南钢,2016/11/25,15:49:26,外弧宽面Tv,稳态,1.579,1.755,0.75,-985.888,23.5,48.166,447.501,263,0.531,0.265,,
414,南钢,2016/11/26,18:54:01,内弧宽面Tv,稳态,0.226,1.499,0.8,1.771,8.93,95.79,613.499,333,0.522,0.124,,
415,南钢,2016/11/26,18:54:06,外弧宽面Tv,稳态,0.085,-1.083,0.8,1.098,7.755,193.663,961.763,582,0.467,0.104,,
416,南钢,2016/11/26,18:54:10,内弧宽面Tv,误报,0.451,1.333,0.31,-27.36,16.92,65.943,424.279,307,0.39,0.589,,
417,南钢,2016/11/26,21:38:05,内弧宽面Tv,稳态,0.141,2.416,0.75,-19.911,5.405,135.356,331.952,401,0.403,0.108,,
418,南钢,2016/11/26,21:38:10,外弧宽面Tv,稳态,0.085,-0.083,0.75,0.16,8.225,18.742,107.497,100,0.52,0.736,,
419,南钢,2016/11/26,21:38:13,内弧宽面Tv,误报,0.733,-1.249,0.75,1.856,21.15,38.871,460.492,231,0.669,0.404,,
420,南钢,2016/11/26,21:38:21,内弧宽面Tv,稳态,0.113,0.25,0.75,-741.096,3.76,7.636,18.76,41,0.305,0.775,,
421,南钢,2016/11/26,21:38:29,外弧宽面Tv,稳态,0.141,-0.167,0,-124.878,7.285,15.27,89.386,87,0.478,0.762,,
422,南钢,2016/11/28,02:55:59,内弧宽面Tv,误报,0.056,-0.5,0.9,0.319,23.5,56.919,964.373,304,0.665,0.77,,
423,南钢,2016/11/28,02:56:05,内弧宽面Tv,稳态,0.197,-1.583,0.9,-12.026,23.5,65.943,703.216,346,0.745,0.469,,
424,南钢,2016/11/28,12:18:51,内弧宽面Tv,误报,0.141,-1.413,0.9,-0.134,23.5,47.801,616.524,284,0.569,0.325,,
425,南钢,2016/11/29,00:49:12,外弧宽面Tv,误报,0.902,-0.223,0.7,1.365,20.68,29.724,376.321,203,0.487,0.183,,
426,南钢,2016/11/29,00:49:15,内弧宽面Tv,稳态,1.41,1.003,0.32,1.128,23.5,45.514,599.407,253,0.735,0.447,,
427,南钢,2016/11/29,10:35:48,内弧宽面Tv,误报,0.113,1.226,0.65,0.326,4.465,27.866,93.207,75,0.403,0.699,,
428,南钢,2016/11/30,16:21:36,外弧宽面Tv,稳态,0.169,0.334,0.7,0.94,4.935,15.791,62.211,61,0.39,1.064,,
429,南钢,2016/11/30,16:21:51,内弧宽面Tv,误报,0.338,-0.334,0.7,-242.208,14.57,30.653,190.998,147,0.37,0.191,,
430,南钢,2016/11/30,20:34:12,外弧宽面Tv,稳态,0.226,-0.334,0.7,1.444,5.875,22.293,81.202,72,0.472,1.554,,
431,南钢,2016/11/30,20:34:16,外弧宽面Tv,误报,0.649,-1.003,0.1,0.93,18.095,35.296,252.982,181,0.422,0.199,,
432,南钢,2016/11/30,21:09:08,内弧宽面Tv,误报,0.479,-0.223,0.7,0.465,15.98,19.506,198.42,153,0.428,0.141,,
433,南钢,2016/11/30,21:09:16,内弧宽面Tv,稳态,0.085,2.229,0.7,-470.437,3.055,26.937,58.282,63,0.384,0.402,,
434,南钢,2016/11/30,21:09:41,外弧宽面Tv,稳态,1.213,-0.446,0.7,2.689,23.5,15.791,247.097,204,0.359,0.164,,
435,南钢,2016/11/30,21:09:51,外弧宽面Tv,稳态,1.354,0,0.7,1.051,23.5,31.581,296.429,237,0.425,0.167,,
436,南钢,2016/11/30,21:09:54,内弧宽面Tv,稳态,0.874,3.01,0.36,1.686,16.92,78.025,674.497,247,0.397,0.439,,
437,南钢,2016/12/2,21:42:15,内弧宽面Tv,稳态,0.197,-0.103,0.75,-490.956,6.345,13.789,62.782,69,0.358,0.549,,
438,南钢,2016/12/2,21:42:32,内弧宽面Tv,误报,0.818,0.517,0.75,1.998,18.095,30.164,340.454,182,0.511,0.174,,
439,南钢,2016/12/3,21:52:31,外弧宽面Tv,稳态,1.1,-0.517,0.75,1.423,23.5,30.163,382.971,232,0.472,0.101,,
440,南钢,2016/12/3,21:52:47,外弧宽面Tv,稳态,0.479,-0.103,0.75,0.851,15.98,21.545,267.938,162,0.517,0.203,,
441,南钢,2016/12/3,21:52:53,外弧宽面Tv,误报,0.254,-2.999,0.75,0.921,23.5,63.773,979.401,446,0.459,3.299,,
442,南钢,2016/12/6,08:40:47,外弧宽面Tv,误报,0.028,0.416,0.6,-1.015,1.88,8.313,11.884,28,0.325,5.452,,
443,南钢,2016/12/6,08:40:53,内弧宽面Tv,稳态,0.028,2.078,0.6,-2922.637,1.645,4.157,5.372,18,0.314,12.489,,
444,南钢,2016/12/11,08:29:08,外弧宽面Tv,稳态,0.056,0,0.65,-226.315,9.4,24.151,164.804,106,0.715,0.705,,
445,南钢,2016/12/11,08:29:25,外弧宽面Tv,误报,0.169,-0.111,0.65,-62.897,8.695,21.364,153.017,100,0.521,0.533,,
446,南钢,2016/12/15,13:04:40,外弧宽面Tv,误报,0.282,-0.167,0.9,0.635,18.565,36.095,346.959,211,0.534,0.698,,
447,南钢,2016/12/15,13:33:17,左侧窄面Tv,稳态,0.141,-0.156,0.9,0.878,6.11,15.6,74.237,78,0.448,3.636,,
448,南钢,2016/12/15,13:33:25,外弧宽面Tv,误报,0.931,1.999,0.9,0.616,19.035,31.236,301.611,189,0.411,0.255,,
449,南钢,2016/12/15,13:33:52,外弧宽面Tv,稳态,0.338,1.249,0.9,1.817,8.225,31.236,182.859,121,0.462,1.278,,
450,南钢,2016/12/15,13:33:57,内弧宽面Tv,稳态,0.056,0.167,0.9,-517.106,3.29,14.577,34.582,52,0.383,0.894,,
451,南钢,2016/12/20,22:43:05,内弧宽面Tv,稳态,1.1,-0.916,0.9,-28.341,17.86,29.154,378.768,184,0.703,0.274,,
452,南钢,2016/12/20,22:43:09,内弧宽面Tv,误报,0.028,-1,0.9,-38.296,19.505,19.436,247.292,178,0.471,0.148,,
453,南钢,2016/12/20,22:43:11,外弧宽面Tv,稳态,1.297,-1.249,0.9,2.445,23.5,38.177,540.91,241,0.43,0.133,,
454,南钢,2016/12/20,22:43:19,内弧宽面Tv,稳态,0.056,0.083,0.9,0.537,2.35,19.436,31.972,57,0.331,0.301,,
455,南钢,2016/12/20,22:43:43,内弧宽面Tv,稳态,0.028,-2.332,0.9,-147.282,4.935,18.742,67.858,73,0.399,1.401,,
456,南钢,2016/12/20,22:43:49,外弧宽面Tv,稳态,0.085,-2.166,0.9,-1.388,7.05,19.436,98.199,88,0.531,1.672,,
457,南钢,2016/12/23,08:11:24,外弧宽面Tv,稳态,0.141,0.666,0.9,0.93,5.64,27.765,113.696,97,0.507,0.711,,
458,南钢,2016/12/23,08:11:38,外弧宽面Tv,稳态,0.451,-0.083,0.9,0.782,15.04,24.295,192.809,162,0.369,0.425,,
459,南钢,2016/12/23,08:11:55,外弧宽面Tv,误报,0.592,1.333,0.9,0.546,17.625,34.013,299.491,183,0.421,0.202,,
460,南钢,2016/12/23,08:35:06,外弧宽面Tv,稳态,0.141,0.083,0.9,-0.072,23.5,124.25,2414.522,504,0.761,0.31,,
461,南钢,2016/12/23,08:35:36,外弧宽面Tv,误报,0.056,0.833,0.9,-0.024,23.5,66.637,923.267,306,0.59,0.236,,
462,南钢,2016/12/23,08:35:55,外弧宽面Tv,稳态,0.028,0.416,0.9,-0.014,23.5,68.025,917.721,305,0.598,0.352,,
463,南钢,2017/1/24,15:10:08,外弧宽面Tv,误报,0.113,0,0.7,0.638,4.7,13.933,53.479,56,0.417,0.849,,
464,南钢,2017/1/24,15:52:57,外弧宽面Tv,稳态,0.254,-0.334,0.7,-0.054,23.5,32.51,635.86,248,0.742,0.114,,
465,南钢,2017/1/24,15:52:57,内弧宽面Tv,稳态,1.015,1.449,0.7,1.632,19.505,23.222,270.017,182,0.515,0.129,,
466,南钢,2017/1/24,15:53:01,外弧宽面Tv,误报,0.113,0.223,0.7,0.03,23.5,50.159,660.745,363,0.516,1.977,,
467,南钢,2017/1/24,15:53:06,内弧宽面Tv,稳态,0.282,-0.446,0.7,1.912,6.345,24.151,127.696,86,0.629,4.47,,
468,南钢,2017/1/24,15:53:19,内弧宽面Tv,稳态,0.649,0.111,0.7,0.259,17.155,11.146,167.424,156,0.391,0.092,,
469,南钢,2017/1/24,15:53:36,内弧宽面Tv,稳态,0.367,-0.111,0.7,0.545,19.975,33.439,506.636,208,0.763,0.19,,
470,南钢,2017/1/24,15:53:41,内弧宽面Tv,稳态,0.056,0.669,0.7,0.159,23.03,45.514,682.136,251,0.721,0.404,,
471,南钢,2017/1/24,15:58:46,内弧宽面Tv,稳态,0.226,-0.334,0.65,0.829,5.875,25.079,114.381,82,0.579,3.44,,
472,南钢,2017/1/24,15:59:12,外弧宽面Tv,漏钢,0.31,0.111,0.65,0.389,22.325,41.799,598.097,221,0.539,0.108,,
473,南钢,2017/1/25,03:50:30,外弧宽面Tv,误报,0.931,-2.564,0,-29.337,18.565,26.008,319.131,172,0.453,0.123,,
474,南钢,2017/1/25,03:50:33,内弧宽面Tv,稳态,0.705,-1.226,0,0.695,15.275,13.004,162.185,132,0.352,0.101,,
475,南钢,2017/1/25,03:50:58,内弧宽面Tv,稳态,1.438,0.78,0.4,2.141,23.5,24.151,408.627,222,0.512,0.171,,
476,南钢,2017/1/25,04:30:55,内弧宽面Tv,稳态,0.028,0.223,0.7,-0.293,3.29,13.004,30.778,40,0.355,1.811,,
477,南钢,2017/1/25,04:31:32,内弧宽面Tv,误报,0.395,0.111,0.7,-64.13,8.93,18.577,149.524,100,0.396,0.372,,
478,南钢,2017/1/25,19:27:11,内弧宽面Tv,稳态,0.085,-0.111,0.7,0.966,3.995,27.866,76.399,68,0.478,0.681,,
479,南钢,2017/1/25,19:27:23,内弧宽面Tv,误报,0.028,1.783,0.7,0.103,21.62,90.1,1522.529,325,0.608,2.751,,
480,南钢,2017/1/25,19:27:31,内弧宽面Tv,稳态,0.395,0.557,0.7,-0.331,23.5,88.242,1081.596,384,0.466,1.412,,
481,南钢,2017/1/25,19:32:12,外弧宽面Tv,稳态,0.197,-0.111,0.63,0.734,9.165,25.079,203.44,114,0.6,0.644,,
482,南钢,2017/1/25,19:32:24,外弧宽面Tv,漏钢,0.761,1.672,0.7,1.414,21.15,47.372,493.758,295,0.539,2.384,,
483,南钢,2017/1/27,17:25:35,外弧宽面Tv,误报,1.213,1.083,0.9,1.316,22.325,65.255,1215.534,335,0.876,3.577,,
484,南钢,2017/2/1,17:01:05,外弧宽面Tv,稳态,0.141,-0.222,0.4,1.313,4.23,19.468,50.978,56,0.401,7.063,,
485,南钢,2017/2/1,17:01:05,内弧宽面Tv,稳态,0.028,0.334,0.4,-0.387,2.82,38.008,76.031,83,0.436,0.251,,
486,南钢,2017/2/1,17:01:09,外弧宽面Tv,稳态,0.31,-0.222,0.4,0.495,10.105,12.978,76.248,98,0.338,0.22,,
487,南钢,2017/2/1,17:01:51,外弧宽面Tv,稳态,0.508,-0.222,0.6,1.056,16.685,27.812,277.554,170,0.418,0.324,,
488,南钢,2017/2/1,17:01:51,内弧宽面Tv,误报,0.931,1.335,0.6,1.84,20.445,27.812,400.21,195,0.475,0.161,,
489,南钢,2017/2/10,18:48:30,外弧宽面Tv,误报,0.367,0.112,0.6,0.496,15.51,23.291,236.449,155,0.635,0.256,,
490,南钢,2017/2/10,18:48:35,外弧宽面Tv,稳态,0.338,-0.559,0.6,0.648,20.915,36.334,538.796,215,0.759,0.24,,
491,南钢,2017/2/10,18:49:10,外弧宽面Tv,稳态,0.423,1.677,0.6,1.148,23.5,92.232,1608.069,494,0.731,1.263,,
492,南钢,2017/2/13,21:16:16,内弧宽面Tv,稳态,0.141,0,0.55,0.559,9.4,37.265,252.212,123,0.87,2.378,,
493,南钢,2017/2/13,21:16:23,内弧宽面Tv,误报,0.282,0.224,0.55,0.752,15.745,47.513,427.797,190,0.487,0.884,,
494,南钢,2017/2/15,08:45:24,外弧宽面Tv,稳态,0.592,0.447,0.6,1.185,13.16,13.043,136.396,121,0.332,0.095,,
495,南钢,2017/2/15,08:45:34,外弧宽面Tv,漏钢,1.156,0,0.6,2.45,23.5,30.744,498.074,246,0.523,0.166,,
496,南钢,2017/2/16,19:37:35,外弧宽面Tv,稳态,0.395,-0.671,0.6,0.357,14.1,10.248,114.502,120,0.391,0.104,,
497,南钢,2017/2/16,19:38:05,内弧宽面Tv,误报,0.395,-0.224,0.6,0.657,17.625,40.992,334.531,182,0.388,0.271,,
498,南钢,2017/2/18,09:30:53,内弧宽面Tv,漏钢,0.282,0.492,0.6,0.399,18.095,26.238,274.961,180,0.433,0.187,,
499,南钢,2017/2/21,00:01:30,外弧宽面Tv,误报,0.649,-0.583,0.58,1.832,16.92,29.819,266.773,185,0.426,0.519,,
500,南钢,2017/2/21,00:01:37,内弧宽面Tv,稳态,0.056,-1.415,0.64,1.58,2.82,54.784,93.705,157,0.338,0.123,,
501,南钢,2017/2/21,00:01:48,内弧宽面Tv,稳态,0.226,-0.499,0.7,0.322,16.92,95.698,668.481,483,0.376,0.754,,
502,南钢,2017/2/22,06:21:06,外弧宽面Tv,误报,0.169,0.229,0.9,0.957,4.7,12.09,47.254,62,0.412,2.042,,
503,南钢,2017/2/22,20:12:51,内弧宽面Tv,漏钢,0.649,-0.5,0.8,0.891,23.5,66.637,839.749,345,0.696,1.768,,
504,南钢,2017/2/23,05:31:12,内弧宽面Tv,稳态,0.028,0.333,0.9,-9.592,23.5,55.531,874.493,325,0.38,1.431,,
505,南钢,2017/2/23,05:31:50,外弧宽面Tv,误报,0.141,-1.083,0.9,0.187,23.5,82.602,1525.184,486,0.796,3.419,,
506,南钢,2017/2/28,18:52:36,外弧宽面Tv,误报,0.846,-1.783,0.7,0.523,18.33,32.51,242.077,175,0.398,0.163,,
507,南钢,2017/2/28,18:52:42,外弧宽面Tv,稳态,0.113,2.341,0.7,-173.368,4.935,16.72,56.535,60,0.389,1.461,,
508,南钢,2017/2/28,19:33:15,外弧宽面Tv,稳态,0.705,3.232,0.7,-82.804,14.805,11.146,118.31,129,0.334,0.1,,
509,南钢,2017/2/28,19:33:42,外弧宽面Tv,误报,1.184,-0.892,0.7,-23.173,21.62,32.51,465.817,201,0.591,0.16,,
510,南钢,2017/3/1,02:14:28,外弧宽面Tv,误报,1.325,1.56,0.7,-133.505,23.5,37.155,467.564,234,0.482,0.198,,
511,南钢,2017/3/1,02:14:51,右侧窄面Tv,稳态,0.902,0.702,0.7,-93.253,17.155,14.3,107.842,148,0.323,0.193,,
512,南钢,2017/3/1,06:22:46,外弧宽面Tv,稳态,0.874,-2.118,0.7,-60.87,20.21,20.435,330.918,193,0.471,0.114,,
513,南钢,2017/3/1,06:22:56,外弧宽面Tv,误报,0.902,-0.892,0.7,1.71,19.035,26.937,261.286,175,0.402,0.127,,
514,南钢,2017/3/1,06:23:04,外弧宽面Tv,稳态,0.677,-0.892,0.7,0.849,21.15,22.293,316.511,192,0.494,0.102,,
515,南钢,2017/3/2,05:03:41,右侧窄面Tv,漏钢,1.325,-1.248,0.7,1.811,23.5,26,424.798,273,0.688,0.658,,
516,南钢,2017/3/2,05:03:45,内弧宽面Tv,稳态,0.056,0,0.7,-0.507,8.695,7.416,50.324,80,0.32,0.128,,
517,南钢,2017/3/2,13:27:57,外弧宽面Tv,误报,0.085,0,0.65,0.84,3.525,10.197,27.014,41,0.343,0.792,,
518,南钢,2017/3/5,04:00:15,外弧宽面Tv,稳态,0.056,2.006,0.6,-993.687,2.585,9.289,15.935,30,0.325,9.499,,
519,南钢,2017/3/5,04:00:36,外弧宽面Tv,稳态,0.113,-0.446,0.6,-68.055,5.64,27.866,116.345,82,0.522,1.084,,
520,南钢,2017/3/5,04:00:43,外弧宽面Tv,误报,0.62,1.226,0.6,1.601,14.335,29.724,219.375,149,0.405,0.293,,
521,南钢,2017/3/5,07:36:42,外弧宽面Tv,稳态,0.028,-2.452,0.7,0.053,2.115,21.364,33.834,49,0.337,0.332,,
522,南钢,2017/3/5,07:36:59,外弧宽面Tv,稳态,0.197,-1.672,0.7,-0.247,6.11,16.72,60.901,69,0.353,0.679,,
523,南钢,2017/3/5,07:37:17,外弧宽面Tv,误报,0.931,2.341,0.7,-32.325,19.74,36.226,450.974,191,0.431,0.169,,
524,南钢,2017/3/5,09:34:49,外弧宽面Tv,稳态,0.056,0.223,0.7,-32.438,7.05,18.577,98.664,80,0.566,0.727,,
525,南钢,2017/3/5,09:34:54,外弧宽面Tv,误报,0.564,-0.111,0.7,0.639,17.86,18.577,204.532,170,0.488,0.124,,
526,南钢,2017/3/5,12:38:29,外弧宽面Tv,稳态,0.056,1.672,0.7,-3.847,3.76,13.933,39.509,47,0.371,2.45,,
527,南钢,2017/3/5,12:38:36,外弧宽面Tv,误报,1.043,0.446,0.7,1.876,18.33,32.51,368.681,173,0.408,0.25,,
528,南钢,2017/3/5,13:19:43,外弧宽面Tv,稳态,0.451,0.892,0.7,1.521,11.75,29.724,221.558,130,0.52,0.689,,
529,南钢,2017/3/5,13:20:18,内弧宽面Tv,误报,0.423,0.446,0.7,0.777,16.45,42.728,382.651,192,0.439,0.671,,
530,南钢,2017/3/5,15:26:49,外弧宽面Tv,误报,0.451,-0.111,0.7,-47.446,23.5,31.581,206.496,223,0.348,0.111,,
531,南钢,2017/3/5,15:51:43,外弧宽面Tv,稳态,0.141,0.446,0.7,0.269,23.5,30.653,495.722,232,0.526,0.161,,
532,南钢,2017/3/5,15:51:45,外弧宽面Tv,误报,0.254,0.892,0.7,-0.61,21.855,18.577,277.875,190,0.339,0.155,,
533,南钢,2017/3/6,09:20:21,外弧宽面Tv,稳态,0.282,-0.111,0.7,1.005,10.575,27.866,168.297,118,0.49,0.739,,
534,南钢,2017/3/6,09:20:31,外弧宽面Tv,误报,0.056,0.223,0.7,0.361,20.68,66.878,842.138,280,0.571,0.885,,
535,南钢,2017/3/8,09:47:42,外弧宽面Tv,误报,0.085,0,0.9,0.836,3.055,12.47,27.35,45,0.349,1.362,,
536,南钢,2017/3/8,11:00:27,内弧宽面Tv,误报,0.056,-0.083,0.9,-0.19,4.7,11.778,40.865,58,0.323,0.938,,
537,南钢,2017/3/8,14:33:58,外弧宽面Tv,稳态,0.085,0.334,0.7,-2895.951,2.115,14.862,23.575,36,0.34,0.623,,
538,南钢,2017/3/8,14:34:26,内弧宽面Tv,误报,0.056,-2.564,0.7,-349.662,2.35,17.648,28.377,41,0.339,0.623,,
539,南钢,2017/3/13,09:09:33,外弧宽面Tv,稳态,0.169,2.249,0.7,-438.439,5.17,14.578,53.669,66,0.412,1.925,,
540,南钢,2017/3/13,09:09:45,外弧宽面Tv,稳态,0.056,-1.666,0.7,-0.121,8.225,18.741,119.236,100,0.585,1.071,,
541,南钢,2017/3/13,09:10:01,外弧宽面Tv,误报,0.056,2.332,0.7,-574.379,6.815,13.189,66.067,77,0.448,0.654,,
542,南钢,2017/3/13,10:23:06,外弧宽面Tv,误报,0.282,-1.832,0.7,-0.251,15.51,29.152,149.901,167,0.336,0.309,,
543,南钢,2017/3/13,10:23:13,内弧宽面Tv,稳态,0.056,-1.083,0.7,-3062.982,1.88,3.471,4.731,18,0.335,3.631,,
544,南钢,2017/3/13,10:23:26,外弧宽面Tv,稳态,0.113,-1.166,0.7,-0.099,3.29,8.329,19.737,39,0.352,1.162,,
545,南钢,2017/3/15,04:25:50,内弧宽面Tv,稳态,0.141,-1.006,0.6,0.937,6.11,27.949,137.709,90,0.527,2.362,,
546,南钢,2017/3/15,04:25:57,内弧宽面Tv,误报,0.31,0.335,0.6,0.607,14.805,30.744,268.194,154,0.557,0.409,,
547,南钢,2017/3/15,04:26:11,内弧宽面Tv,稳态,0.254,-0.112,0.6,0.039,23.5,26.086,415.536,221,0.551,0.146,,
548,南钢,2017/3/17,12:48:51,外弧宽面Tv,稳态,0.141,-0.666,0.9,0.586,4.465,33.318,100.972,99,0.461,0.42,,
549,南钢,2017/3/17,12:48:58,外弧宽面Tv,误报,1.043,2.249,0.9,2.271,21.385,77.743,1223.247,389,0.566,0.887,,
550,南钢,2017/3/17,23:47:41,内弧宽面Tv,误报,0.085,1.583,0.9,-118.422,4.23,23.601,68.348,78,0.384,0.656,,
551,南钢,2017/3/17,23:47:50,内弧宽面Tv,稳态,0.085,-1.166,0.9,0.207,5.64,22.906,76.993,81,0.372,1.849,,
552,南钢,2017/3/18,21:00:14,内弧宽面Tv,误报,1.043,-2.118,0.7,0.197,23.5,78.954,968.306,405,0.479,1.136,,
553,南钢,2017/3/18,21:00:23,内弧宽面Tv,稳态,1.325,0.892,0.7,0.916,23.5,26.008,421.942,227,0.419,0.107,,
554,南钢,2017/3/19,05:47:42,内弧宽面Tv,稳态,0.056,1.338,0.7,-0.785,1.88,5.573,8.295,19,0.334,10.421,,
555,南钢,2017/3/19,05:48:01,内弧宽面Tv,误报,0.282,-2.898,0.7,-420.964,17.86,29.724,184.231,179,0.426,0.181,,
556,南钢,2017/3/19,05:48:20,外弧宽面Tv,稳态,0.649,-0.223,0.7,0.887,15.51,18.577,216.974,144,0.377,0.079,,
557,南钢,2017/3/19,07:17:32,内弧宽面Tv,稳态,1.325,2.006,0.7,-895.307,23.5,37.155,338.558,221,0.384,0.106,,
558,南钢,2017/3/19,07:17:47,内弧宽面Tv,误报,0.902,0.892,0.7,-35.161,18.33,29.724,270.017,174,0.518,0.21,,
559,南钢,2017/3/19,07:17:58,内弧宽面Tv,稳态,0.79,-1.449,0.7,-43.314,16.685,26.008,220.685,164,0.393,0.185,,
560,南钢,2017/4/2,06:31:54,外弧宽面Tv,误报,0.338,-0.833,0.9,1.315,12.455,31.236,231.306,158,0.445,0.857,,
561,南钢,2017/4/2,06:32:08,外弧宽面Tv,稳态,0.367,0.083,0.9,0.012,23.5,27.071,504.208,229,0.544,0.119,,
